id,question_number,exam_id,exam_year,question_type,nullified,question,choices,answerKey,area_especialidade,nivel_dificuldade,referencia_legal
2010-02_17,17,2010-02,2010,ADMINISTRATIVE,False,Uma das características dos contratos administrativos é a “instabilidade” quanto ao seu objeto que decorre,"{'text': ['do poder conferido à Administração Pública de alterar, unilateralmente, algumas cláusulas do contrato, no curso de sua execução, na forma do artigo 58, inciso I da Lei n. 8.666/93, a fim de adequar o objeto do contrato às finalidades de interesse público, respeitados os direitos do contratado.', 'da possibilidade do contratado (particular) alterar, unilateralmente, a qualquer tempo, algumas cláusulas do contrato, no curso de sua execução, de forma a atender aos seus próprios interesses em face das prerrogativas da Administração Pública.', 'do poder conferido à Administração Pública de alterar, unilateralmente, algumas cláusulas do contrato, no curso de sua execução, na forma do artigo 58, inciso I da Lei n. 8.666/93, afim de adequar o objeto do contrato aos interesses do contratado (particular) em face das prerrogativas da Administração Pública.', 'de não haver qualquer possibilidade de alteração do objeto do contrato administrativo, quer pela Administração Pública, quer pelo contratado (particular), tendo em vista o princípio da vinculação ao edital licitatório, do qual o contrato e seu objeto fazem parte integrante; e o princípio da juridicidade, do qual aquele primeiro decorre.'], 'label': ['A', 'B', 'C', 'D']}",A,,,
2010-02_18,18,2010-02,2010,ADMINISTRATIVE,False,"Determinada Administração Pública realiza concurso para preenchimento de cargos de detetive, categoria I. Ao final do certame, procede à nomeação e posse de 400 (quatrocentos) aprovados. Os vinte primeiros classificados são desviados de suas funções e passam a exercer as atividades de delegado. Com o transcurso de 4 (quatro) anos, estes vinte agentes postulam a efetivação no cargo.
A partir do fragmento acima, assinale a alternativa correta.","{'text': ['Os referidos agentes têm razão, pois investi dos irregularmente, estão exercendo as suas atividades há mais de 4 (quatro) anos, a consolidar a situação.', 'É inconstitucional toda modalidade de provimento que propicie ao servidor investir-se, sem prévia aprovação em concurso público destinado ao seu provimento, em cargo que não integra a carreira na qual anteriormente foi investi do.', 'Não têm ainda o direito, pois dependem do transcurso do prazo de 15 (quinze) anos para que possam ser ti dos como delegados, por usucapião.', 'É inconstitucional esta modalidade de provimento do cargo, pois afronta o princípio do concurso público, porém não podem ter alterado os ganhos vencimentais, sedimentado pelos anos, pelo princípio da irredutibilidade.'], 'label': ['A', 'B', 'C', 'D']}",B,,,
2010-02_19,19,2010-02,2010,ADMINISTRATIVE,False,"No âmbito do Poder discricionário da Administração Pública, não se admite que o agente público administrativo exerça o Poder discricionário","{'text': ['quando estiver diante de conceitos legais e jurídicos parcialmente indeterminados, que se tornam determinados à luz do caso concreto e à luz das circunstâncias de fato.', 'quando estiver diante de conceitos legais e jurídicos técnico-científicos, sendo, neste caso, limitado às escolhas técnicas, por óbvio possíveis.', 'quando estiver diante de conceitos valorativos estabelecidos pela lei, que dependem de concretização pelas escolhas do agente, considerados o momento histórico e social.', 'em situações em que a redação da Lei se encontra insatisfatória ou ultrapassada.'], 'label': ['A', 'B', 'C', 'D']}",D,,,
2010-02_20,20,2010-02,2010,ADMINISTRATIVE,False,"Uma determinada empresa concessionária transfere o seu controle acionário para uma outra empresa privada, sem notificar, previamente, o Poder concedente, parte no contrato de concessão.
Assinale a alternativa que indique a medida que o Poder concedente poderá tomar, se não restarem atendidas as mesmas exigências técnicas, de idoneidade financeira e regularidade jurídica por esta nova empresa.","{'text': ['Poderá o Poder concedente declarar a caducidade da concessão, tendo em vista o caráter intuitu personae do contrato de concessão.', 'Poderá retomar o serviço, por motivo de interesse público, através da encampação, autorizada por lei específica, após prévio pagamento da indenização.', 'Poderá o Poder concedente anular o contrato de concessão, através de decisão administrativa,, uma vez que a transferência acionária da empresa concessionária sem a notificação prévia ao Poder concedente gera irregularidade, insusceptível de convalidação.', 'Nada poderá fazer o Poder concedente, uma vez que a empresa concessionária, apesar da alteração societária, não desnatura o caráter intuitu personae do contrato de concessão.'], 'label': ['A', 'B', 'C', 'D']}",A,,,
2010-02_21,21,2010-02,2010,CIVIL,False,"A respeito das diferenças e semelhanças entre prescrição e decadência, no Código Civil, é correto afirmar que:","{'text': ['a prescrição acarreta a extinção do direito potestativo, enquanto a decadência gera a extinção do direito subjetivo.', 'os prazos prescricionais podem ser suspensos e interrompidos, enquanto os prazos decadenciais legais não se suspendem ou interrompem, com exceção da hipótese de titular de direito absolutamente incapaz, contra o qual não corre nem prazo prescricional nem prazo decadencial.', 'não se pode renunciar à decadência legal nem à prescrição, mesmo após consumadas.', 'a prescrição é exceção que deve ser alegada pela parte a quem beneficia, enquanto a decadência pode ser declarada de ofício pelo juiz.'], 'label': ['A', 'B', 'C', 'D']}",B,,,
2010-02_22,22,2010-02,2010,CIVIL,False,"Com relação ao regime da solidariedade passiva, é correto afirmar que:","{'text': ['cada herdeiro pode ser demandado pela dívida toda do devedor solidário falecido.', 'com a perda do objeto por culpa de um dos devedores solidários, a solidariedade subsiste no pagamento do equivalente pecuniário, mas pelas perdas e danos somente poderá ser demandado o culpado.', 'se houver atraso injustificado no cumprimento da obrigação por culpa de um dos devedores solidários, a solidariedade subsiste no pagamento do valor principal, mas pelos juros da mora somente poderá ser demandado o culpado.', 'as exceções podem ser aproveitadas por qualquer dos devedores solidários, ainda que sejam pessoais apenas a um deles.'], 'label': ['A', 'B', 'C', 'D']}",B,,,
2010-02_23,23,2010-02,2010,CIVIL,False,"Durante dez anos, empregados de uma fabricante de extrato de tomate distribuíram, gratuitamente, sementes de tomate entre agricultores de uma certa região. A cada ano, os empregados da fabricante procuravam os agricultores, na época da colheita, para adquirir a safra produzida. No ano de 2009, a fabricante distribuiu as sementes, como sempre fazia, mas não retornou para adquirir a safra. Procurada pelos agricultores, a fabricante recusou-se a efetuar a compra. O tribunal competente entendeu que havia responsabilidade pré-contratual da fabricante. A responsabilidade pré-contratual é aquela que:","{'text': ['deriva da violação à boa-fé objetiva na fase das negociações preliminares à formação do contrato.', 'deriva da ruptura de um pré-contrato, também chamado contrato preliminar.', 'surgiu, como instituto jurídico, em momento histórico anterior à responsabilidade contratual.', 'segue o destino da responsabilidade contratual, como o acessório segue o principal.'], 'label': ['A', 'B', 'C', 'D']}",A,,,
2010-02_24,24,2010-02,2010,CIVIL,False,"Em 2004, Joaquim, que não tinha herdeiros necessários, lavrou um testamento contemplando como sua herdeira universal Ana. Em 2006, arrependido, Joaquim revogou o testamento de 2004, nomeando como seu herdeiro universal Sérgio. Em 2008, Sérgio faleceu, deixando uma filha Catarina. No mês de julho de 2010, faleceu Joaquim. O único parente vivo de Joaquim era seu irmão, Rubens.
Assinale a alternativa que indique a quem caberá a herança de Joaquim.","{'text': ['Rubens.', 'Catarina.', 'Ana.', 'A herança será vacante.'], 'label': ['A', 'B', 'C', 'D']}",A,,,
2010-02_25,25,2010-02,2010,CIVIL,False,"Sobre o constituto possessório, assinale a alternativa correta.","{'text': ['Trata-se de modo originário de aquisição da propriedade.', 'Trata-se de modo originário de aquisição da posse.', 'Representa uma tradição ficta.', 'É imprescindível para que se opere a transferência da posse aos herdeiros na sucessão universal.'], 'label': ['A', 'B', 'C', 'D']}",C,,,
2010-02_26,26,2010-02,2010,CIVIL,False,"Passando por dificuldades financeiras, Alexandre instituiu uma hipoteca sobre imóvel de sua propriedade, onde reside com sua família. Posteriormente, foi procurado por Amanda, que estaria disposta a adquirir o referido imóvel por um valor bem acima do mercado. Consultando seu advogado, Alexandre ouviu dele que não poderia alienar o imóvel, já que havia uma cláusula na escritura de instituição da hipoteca que o proibia de alienar o bem hipotecado.
A opinião do advogado de Alexandre","{'text': ['está incorreta, porque a hipoteca instituída não produz efeitos, pois, na hipótese, o direito real em garanti a a ser instituído deveria ser o penhor.', 'está incorreta, porque Alexandre está livre para alienar o imóvel, pois a cláusula que proíbe o proprietário de alienar o bem hipotecado é nula.', 'está incorreta, uma vez que a hipoteca é nula, pois não é possível instituir hipoteca sobre bem de família do devedor hipotecário.', 'está correta, porque em virtude da proibição contratual, Alexandre não poderia alienar o imóvel enquanto recaísse sobre ele a garanti a hipotecária.'], 'label': ['A', 'B', 'C', 'D']}",B,,,
2010-02_27,27,2010-02,2010,CIVIL,False,"Jane e Carlos constituíram uma união estável em julho de 2003 e não celebraram contrato para regular as relações patrimoniais decorrentes da aludida entidade familiar. Em março de 2005, Jane recebeu R$ 100.000,00 (cem mil reais) a título de doação de seu ti o Túlio. Com os R$ 100.000,00 (cem mil reais), Jane adquiriu em maio de 2005 um imóvel na Barra da Tijuca. Em 2010, Jane e Carlos se separaram. Carlos procura um advogado, indagando se tem direito a partilhar o imóvel adquirido por Jane na Barra da Tijuca em maio de 2005.
Assinale a alternativa que indique a orientação correta a ser exposta a Carlos.","{'text': ['Por se tratar de bem adquirido a título oneroso na vigência da união estável, Carlos tem direito a partilhar o imóvel adquirido por Jane na Barra da Tijuca em maio de 2005.', 'Carlos não tem direito a partilhar o imóvel adquirido por Jane na Barra da Tijuca em maio de 2005 porque, salvo contrato escrito entre os companheiros, aplica-se às relações patrimoniais entre os mesmos o regime da separação total de bens.', 'Carlos não tem direito a partilhar o imóvel adquirido por Jane na Barra da Tijuca em maio de 2005 porque, em virtude da ausência de contrato escrito entre os companheiros, aplica-se às relações patrimoniais entre os mesmos o regime da comunhão parcial de bens, que exclui dos bens comuns entre os consortes aqueles doados e os sub-rogados em seu lugar.', 'Carlos tem direito a partilhar o imóvel adquirido por Jane na Barra da Tijuca em maio de 2005 porque, muito embora o referido bem tenha sido adquirido com o produto de uma doação, não se aplica a sub-rogação de bens na união estável.'], 'label': ['A', 'B', 'C', 'D']}",C,,,
2010-02_28,28,2010-02,2010,CIVIL,False,"Por meio de uma promessa de compra e venda, celebrada por instrumento particular registrada no cartório de Registro de Imóveis e na qual não se pactuou arrependimento, Juvenal foi residir no imóvel objeto do contrato e, quando quitou o pagamento, deparou-se com a recusa do promitente-vendedor em outorgar-lhe a escritura definitiva do imóvel. Diante do impasse, Juvenal poderá","{'text': ['requerer ao juiz a adjudicação do imóvel, a despeito de a promessa de compra e venda ter sido celebrada por instrumento particular.', 'usucapir o imóvel, já que não faria jus à adjudicação compulsória na hipótese.', 'desisti r do negócio e pedir o dinheiro de volta.', 'exigir a substituição do imóvel prometi do à venda por outro, muito embora inexistisse previsão expressa a esse respeito no contrato preliminar.'], 'label': ['A', 'B', 'C', 'D']}",A,,,
2010-02_29,29,2010-02,2010,CIVIL,False,"João prometeu transferir a propriedade de uma coisa certa, mas antes disso, sem culpa sua, o bem foi deteriorado. Segundo o Código Civil, ao caso de João aplica-se o seguinte regime jurídico:","{'text': ['a obrigação fica resolvida, com a devolução de valores eventualmente pagos.', 'a obrigação subsiste, com a entrega da coisa no estado em que se encontra.', 'a obrigação subsiste, com a entrega da coista no estado em que se encontra e abati mento no preço proporcional à deterioração.', 'a obrigação poderá ser resolvida, com a devolução de valores eventualmente pagos, ou subsisti r, com a entrega da coisa no estado em que se encontra e abati mento no preço proporcional à deterioração, cabendo ao credor a escolha de uma dentre as duas soluções.'], 'label': ['A', 'B', 'C', 'D']}",D,,,
2010-02_30,30,2010-02,2010,CIVIL,False,Assinale a alternativa que contemple exclusivamente obrigação propter rem:,"{'text': ['a obrigação de indenizar decorrente da aluvião e aquela decorrente da avulsão.', 'a hipoteca e o dever de pagar as cotas condominiais.', 'o dever que tem o servidor da posse de exercer o desforço possessório e o dever de pagar as cotas condominiais.', 'a obrigação que tem o proprietário de um terreno de indenizar o terceiro que, de boa-fé, erigiu benfeitorias sobre o mesmo.'], 'label': ['A', 'B', 'C', 'D']}",D,,,
2010-02_31,31,2010-02,2010,CIVIL-PROCEDURE,False,"A capacidade é um dos pressupostos processuais. Caso o juiz verifique que uma das partes é incapaz ou há irregularidade em sua representação, deverá suspender o processo e marcar prazo razoável para que o defeito seja sanado.
Assinale a alternativa que indique a providência correta a ser tomada pelo magistrado, na hipótese de persistência do vício.","{'text': ['Se o vício se referir ao autor, deve o juiz aplicar-lhe multa por litigância de má-fé.', 'Se o vício se referir ao autor, deve o juiz proferir o julgamento antecipado da lide.', 'Se o vício se referir ao réu, deve o juiz reputá-lo revel.', 'Se o vício se referir ao réu, deve o juiz julgar a causa em seu desfavor.'], 'label': ['A', 'B', 'C', 'D']}",C,,,
2010-02_32,32,2010-02,2010,CIVIL-PROCEDURE,False,"A incompetência do juízo, tal como prevista no CPC, pode assumir duas feições, de acordo com a natureza do vício e ainda com as consequências advindas de tal reconhecimento. O Código trata, então, da incompetência absoluta e da relativa. A respeito dessas modalidades de incompetência, assinale a afirmativa correta.","{'text': ['A incompetência relativa pode ser alegada a qualquer tempo.', 'A incompetência relativa sempre pode ser conhecida de ofício pelo juiz.', 'A incompetência absoluta gera a nulidade de todos os atos praticados no processo até seu reconhecimento.', 'A incompetência absoluta é alegada como preliminar da contestação ou por petição nos autos.'], 'label': ['A', 'B', 'C', 'D']}",D,,,
2010-02_33,33,2010-02,2010,CIVIL-PROCEDURE,False,"Com relação ao procedimento da execução por quantia certa, contra devedor solvente, fundado em título extrajudicial, é correto afirmar que:","{'text': ['o executado é citado para, no prazo de três dias, apresentar embargos.', 'o credor só pode indicar os bens a serem penhorados se o executado não se manifestar no prazo legal, após ser citado.', 'o juiz pode, de ofício, e a qualquer tempo, determinar a intimação do executado para indicar bens passíveis de penhora.', 'o juiz somente fixará os honorários de advogado a serem pagos pelo executado ao fim do processo de execução.'], 'label': ['A', 'B', 'C', 'D']}",C,,,
2010-02_34,34,2010-02,2010,CIVIL-PROCEDURE,False,"As medidas cautelares estão expressamente previstas no CPC como forma de instrumentalizar a tutela, tendo natureza eminentemente acessória.
Assinale a alternativa que apresente uma regra que disciplina a concessão de medidas cautelares.","{'text': ['o Juiz, como regra, deve deferir  medidas cautelares sem a prévia audiência do requerido.', 'o direito brasileiro admite apenas medidas cautelares incidentais, sendo vedado o uso de medidas prévias.', 'interposto recurso nos autos principais, fica vedado o requerimento de cautelares.', 'salvo decisão em contrário, a cautelar conserva sua eficácia mesmo durante o período de suspensão do processo principal.'], 'label': ['A', 'B', 'C', 'D']}",D,,,
2010-02_35,35,2010-02,2010,CIVIL-PROCEDURE,False,"A Lei n. 9.099/95 disciplina os chamados Juizados Especiais Cíveis no âmbito Estadual. Nela é possível encontrar diversas regras especiais, que diferenciam o procedimento dos Juizados do procedimento comum do CPC.
Segundo a Lei n. 9.099/95, assinale a alternativa que indique uma dessas regras específicas.","{'text': ['Não é cabível nenhuma forma de intervenção de terceiros nem de assistência.', 'É vedado o litisconsórcio.', 'Nas ações propostas por microempresas, admite-se a reconvenção.', 'Se o pedido formulado for genérico, admite-se, excepcionalmente, sentença ilíquida.'], 'label': ['A', 'B', 'C', 'D']}",A,,,
2010-02_36,36,2010-02,2010,CIVIL-PROCEDURE,False,"O Mandado de Segurança Coletivo, previsto no art. 5º, inciso LXX da Constituição da República, foi regulamentado pelos artigos 21 e 22 da Lei Federal n. 12.016/09.
Acerca desta garantia constitucional é correto afirmar que:","{'text': ['qualquer cidadão tem legitimidade para impetrar o mandado de segurança coletivo.', 'no mandado de segurança coletivo, a sentença fará coisa julgada limitadamente aos membros do grupo substituído pelo impetrante.', 'o mandado de segurança coletivo pode ser utilizado na defesa de direitos difusos.', 'o mandado de segurança coletivo induz litispendência para as ações individuais que tenham o mesmo objeto.'], 'label': ['A', 'B', 'C', 'D']}",B,,,
2010-02_37,37,2010-02,2010,CIVIL-PROCEDURE,False,"Acerca da revelia, é correto afirmar que:","{'text': ['a revelia se dá com a não apresentação de exceção ou de reconvenção no prazo da resposta.', 'ainda que o litígio verse sobre direitos indisponíveis, a revelia produz seus efeitos normalmente.', 'contra o revel, ainda que tenha patrono constituído nos autos, correrão os prazos independentemente de intimação.', 'o revel pode intervir no processo em qualquer fase, recebendo-o no estado em que se encontrar.'], 'label': ['A', 'B', 'C', 'D']}",D,,,
2010-02_38,38,2010-02,2010,CIVIL-PROCEDURE,False,"Se, durante a audiência de instrução e julgamento, um advogado, exercendo seu mister de bem defender os interesses de seu cliente, entende que a testemunha arrolada pela parte contrária mantém com essa vínculo estreito de amizade e que seu depoimento pode ser tendencioso, esse advogado deverá:","{'text': ['contraditar a testemunha, devendo a audiência, nesse caso, ser necessária e imediatamente interrompida.', 'contraditar a testemunha, que mesmo assim poderá ser ouvida como informante do juízo, desde que o magistrado fundamente sua decisão de ouví-la.', 'contraditar a testemunha, hipótese em que estará o juiz obrigado a dispensá-la.', 'contraditar a testemunha, que será ouvida após a audiência, sem a presença das partes.'], 'label': ['A', 'B', 'C', 'D']}",B,,,
2010-02_39,39,2010-02,2010,CIVIL-PROCEDURE,False,"Com relação ao procedimento da curatela dos interditos, é correto afirmar que:","{'text': ['na ausência dos pais, do tutor e do cônjuge, um parente próximo pode requerer a interdição.', 'a sentença proferida pelo juiz faz coisa julgada material.', 'a realização de prova pericial, consistente no exame do interditando, é facultativa, podendo o juiz dispensá-la.', 'o Ministério Público não tem legitimidade para requerer a interdição.'], 'label': ['A', 'B', 'C', 'D']}",A,,,
2010-02_40,40,2010-02,2010,CIVIL-PROCEDURE,False,"Um advogado é procurado em seu escritório por um cliente que lhe narra que a empresa da qual ele é diretor foi citada pelo poder judiciário, em decorrência de um conflito surgido em razão de contrato de compra e venda no qual inseriram cláusula compromissória cheia, estabelecendo que em caso de eventual conflito entre as partes, o mesmo será apreciado por um tribunal arbitral.
O advogado ao peticionar no referido processo, representando os interesses do seu cliente, no senti do de exigir cumprimento da cláusula compromissória cheia, deverá:","{'text': ['requerer a designação de audiência de conciliação, pois o juiz pode conhecer de ofício da pré-existência da convenção de arbitragem.', 'apresentar desde logo contestação, restringindo sua argumentação ao exame do mérito da causa.', 'apresentar contestação e alegar expressamente, em preliminar, a existência de convenção de arbitragem, solicitando a extinção do feito.', 'solicitar ao juiz o julgamento antecipado da lide.'], 'label': ['A', 'B', 'C', 'D']}",C,,,
2010-02_41,41,2010-02,2010,LABOUR,False,"A respeito do regime de compensação de jornada do banco de horas, assinale a alternativa correta.","{'text': ['Pode ser instituído mediante acordo, verbal ou por escrito, entre empresa e empregado, facultando-se a participação dos sindicatos representantes das categorias.', 'Não admite compensação de jornada que ultrapassar o limite máximo de 10 horas diárias.', 'Pode ser compensado após a rescisão do contrato de trabalho, se houver crédito em favor do trabalhador, respeitado o limite de validade do acordo.', 'O excesso de jornada a ser compensada não pode exceder, no prazo legal máximo de um semestre, a soma das jornadas semanais previstas para o período.'], 'label': ['A', 'B', 'C', 'D']}",B,,,
2010-02_42,42,2010-02,2010,LABOUR,False,"No contexto da teoria das nulidades do contrato de trabalho, assinale a alternativa correta.","{'text': ['Configurado o trabalho ilícito, é devido ao empregado somente o pagamento da contraprestação salarial pactuada.', 'Os trabalhos noturno, perigoso e insalubre do menor de 18 dezoito) anos de idade são modalidades de trabalho proibido ou irregular.', 'O trabalho do menor de 16 (dezesseis) anos de idade, que não seja aprendiz, é modalidade de trabalho ilícito, não gerando qualquer efeito.', 'A falta de anotação da Carteira de Trabalho e Previdência Social do empregado invalida o contrato de trabalho.'], 'label': ['A', 'B', 'C', 'D']}",B,,,
2010-02_43,43,2010-02,2010,LABOUR,False,"Com relação ao Direito Coletivo do Trabalho, assinale a alternativa correta.","{'text': ['Acordo coletivo do trabalho é o acordo de caráter normativo pelo qual dois ou mais sindicatos representativos de categorias econômicas e profissionais estipulam condições de trabalho aplicáveis, no âmbito das respectivas representações, às relações individuais de trabalho.', 'Na greve em serviços ou atividades essenciais, ficam as entidades sindicais ou os trabalhadores, conforme o caso, obrigados a comunicar a decisão aos empregadores e aos usuários com antecedência mínima de 72 (setenta e duas) horas da paralisação.', 'As centrais sindicais, por força de lei, podem celebrar acordos e convenções coletivos de trabalho.', 'O recolhimento da contribuição sindical obrigatória (“imposto sindical”) somente é exigido dos empregados sindicalizados, em face do princípio da liberdade sindical.'], 'label': ['A', 'B', 'C', 'D']}",B,,,
